,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,source,title,b1num,b2num,b3num,xnum,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,General-0-20221127-19:47:43-78598,Network.server.app[0],successfulLookup:vector,[  7.0000004    7.00000047   8.00000067  16.0000004   16.00000047  17.00000033  24.00000033  24.0000004   26.00000033  26.00000047  31.00000033  35.00000033  35.0000004   36.00000033  36.0000004   42.00000033  43.00000033  87.00000033  97.00000033 139.00000033],[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20.],linear,vector,successfulLookup,Successful Lookup Count,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
0,General-0-20221127-19:47:43-78598,Network.server.app[0],unsuccessfulLookup:vector,[  7.00000033   8.00000033   8.0000004    8.00000047  10.00000033  15.0000004   16.00000033  16.00000053  25.00000033  26.0000004   26.00000053  26.00000067  30.0000004   31.0000004   42.00000047  48.0000004   52.00000033  53.00000033  54.00000033  58.00000033  61.00000033  61.00000067  64.00000033  68.00000033  69.00000033  71.00000033  72.00000033  78.00000033  80.00000033  86.00000033  99.00000033 108.00000033 109.00000033 113.00000033 115.0000004  115.00000053 116.00000033 123.0000004  123.00000047 123.00000053 133.00000033 140.00000033 141.00000033 146.00000033 151.00000033 152.00000033 156.00000033 157.00000033 158.00000033 159.00000033 166.00000033 169.00000033 172.00000033 175.00000033 176.00000033 181.00000033 182.00000033 182.0000004  185.00000047 190.00000047 196.00000033 200.00000033 200.0000004  208.0000004  214.00000033 217.00000033 217.0000004  219.00000033 220.00000053 226.00000033 226.00000047 228.0000004  238.00000033 239.00000033 242.00000053 245.00000033 251.00000033 252.00000033 257.00000033 260.00000033 263.00000033 267.00000033 267.0000004  273.00000033 278.00000033 280.00000033 283.00000033 286.00000033 291.00000033 295.00000033 296.00000033 297.00000033],[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45. 46. 47. 48. 49. 50. 51. 52. 53. 54. 55. 56. 57. 58. 59. 60. 61. 62. 63. 64. 65. 66. 67. 68. 69. 70. 71. 72. 73. 74. 75. 76. 77. 78. 79. 80. 81. 82. 83. 84. 85. 86. 87. 88. 89. 90. 91. 92.],linear,vector,unsuccessfulLookup,Unsuccessful Lookup Count,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
